우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
06309|서울특별시|Seoul|강남구|Gangnam-gu|||116804166062|개포로32길|Gaepo-ro 32-gil|0|10|0|1168010300102130002021291|||1168010300|개포동||개포4동|0|1213|01|2||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116804166164|논현로18길|Nonhyeon-ro 18-gil|0|22|6|1168010300102330002020586|||1168010300|개포동||개포4동|0|1233|01|2||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116804166164|논현로18길|Nonhyeon-ro 18-gil|0|22|17|1168010300102320008020641|||1168010300|개포동||개포4동|0|1232|01|8||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116804166164|논현로18길|Nonhyeon-ro 18-gil|0|10|19|1168010300102350012020707|||1168010300|개포동||개포4동|0|1235|01|12||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116804166164|논현로18길|Nonhyeon-ro 18-gil|0|23|0|1168010300102370012026551|||1168010300|개포동||개포4동|0|1237|01|12||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116804166164|논현로18길|Nonhyeon-ro 18-gil|0|22|13|1168010300102320009020593|||1168010300|개포동||개포4동|0|1232|01|9||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116804166164|논현로18길|Nonhyeon-ro 18-gil|0|10|9|1168010300102350018028177|||1168010300|개포동||개포4동|0|1235|01|18||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116804166164|논현로18길|Nonhyeon-ro 18-gil|0|19|0|1168010300102370014020545|||1168010300|개포동||개포4동|0|1237|01|14||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116804166164|논현로18길|Nonhyeon-ro 18-gil|0|12|0|1168010300102350021020589|||1168010300|개포동||개포4동|0|1235|01|21||
06309|서울특별시|Seoul|강남구|Gangnam-gu|||116804166062|개포로32길|Gaepo-ro 32-gil|0|12|0|1168010300102130003021292|||1168010300|개포동||개포4동|0|1213|01|3||
06309|서울특별시|Seoul|강남구|Gangnam-gu|||116804166062|개포로32길|Gaepo-ro 32-gil|0|24|0|1168010300102080005021300|||1168010300|개포동||개포4동|0|1208|01|5||
06309|서울특별시|Seoul|강남구|Gangnam-gu|||116804166059|개포로28길|Gaepo-ro 28-gil|0|9|0|1168010300102140001020505|||1168010300|개포동||개포4동|0|1214|01|1||
06308|서울특별시|Seoul|강남구|Gangnam-gu|||116804166059|개포로28길|Gaepo-ro 28-gil|0|10|0|1168010300102150003020524|||1168010300|개포동||개포4동|0|1215|01|3||
06308|서울특별시|Seoul|강남구|Gangnam-gu|||116804166059|개포로28길|Gaepo-ro 28-gil|0|20|0|1168010300102060003020581|||1168010300|개포동||개포4동|0|1206|01|3||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116804166158|논현로16길|Nonhyeon-ro 16-gil|0|9|0|1168010300102290017020764|||1168010300|개포동||개포4동|0|1229|01|17||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116804166158|논현로16길|Nonhyeon-ro 16-gil|0|11|0|1168010300102300000020737|||1168010300|개포동||개포4동|0|1230|01|0||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116804166158|논현로16길|Nonhyeon-ro 16-gil|0|5|0|1168010300102290018020773|||1168010300|개포동||개포4동|0|1229|01|18||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116804166158|논현로16길|Nonhyeon-ro 16-gil|0|23|0|1168010300102300008020687|||1168010300|개포동||개포4동|0|1230|01|7||
06309|서울특별시|Seoul|강남구|Gangnam-gu|||116804166065|개포로36길|Gaepo-ro 36-gil|0|15|0|1168010300102110011020490|||1168010300|개포동||개포4동|0|1211|01|11||
06309|서울특별시|Seoul|강남구|Gangnam-gu|||116804166065|개포로36길|Gaepo-ro 36-gil|0|4|4|1168010300102120007021301|||1168010300|개포동||개포4동|0|1212|01|7||
06309|서울특별시|Seoul|강남구|Gangnam-gu|||116804166065|개포로36길|Gaepo-ro 36-gil|0|16|0|1168010300102100005020506|||1168010300|개포동||개포4동|0|1210|01|5||
06309|서울특별시|Seoul|강남구|Gangnam-gu|||116804166065|개포로36길|Gaepo-ro 36-gil|0|8|0|1168010300102100001020470|||1168010300|개포동||개포4동|0|1210|01|1||
06309|서울특별시|Seoul|강남구|Gangnam-gu|||116804166065|개포로36길|Gaepo-ro 36-gil|0|10|0|1168010300102100002020477|||1168010300|개포동||개포4동|0|1210|01|2||
06309|서울특별시|Seoul|강남구|Gangnam-gu|||116804166065|개포로36길|Gaepo-ro 36-gil|0|20|0|1168010300102100007020525|||1168010300|개포동||개포4동|0|1210|01|7||
06309|서울특별시|Seoul|강남구|Gangnam-gu|||116804166065|개포로36길|Gaepo-ro 36-gil|0|12|0|1168010300102100003020489|||1168010300|개포동||개포4동|0|1210|01|3||
06309|서울특별시|Seoul|강남구|Gangnam-gu|||116804166065|개포로36길|Gaepo-ro 36-gil|0|14|0|1168010300102100004020494|||1168010300|개포동||개포4동|0|1210|01|4||
06309|서울특별시|Seoul|강남구|Gangnam-gu|||116804166065|개포로36길|Gaepo-ro 36-gil|0|13|0|1168010300102110012020487|||1168010300|개포동||개포4동|0|1211|01|12||
06309|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|260|0|1168010300102110000020402|||1168010300|개포동||개포4동|0|1211|01|0||
06303|서울특별시|Seoul|강남구|Gangnam-gu|||116804166051|개포로15길|Gaepo-ro 15-gil|0|39|0|1168010300102390001020236|||1168010300|개포동||개포4동|0|1239|01|1||
06308|서울특별시|Seoul|강남구|Gangnam-gu|||116804166059|개포로28길|Gaepo-ro 28-gil|0|8|0|1168010300102150002020513|||1168010300|개포동||개포4동|0|1215|01|2||
06308|서울특별시|Seoul|강남구|Gangnam-gu|||116804166059|개포로28길|Gaepo-ro 28-gil|0|4|0|1168010300102150000020496|||1168010300|개포동||개포4동|0|1215|01|0||
06309|서울특별시|Seoul|강남구|Gangnam-gu|||116804166059|개포로28길|Gaepo-ro 28-gil|0|21|0|1168010300102070010020568|||1168010300|개포동||개포4동|0|1207|01|10||
06308|서울특별시|Seoul|강남구|Gangnam-gu|||116804166059|개포로28길|Gaepo-ro 28-gil|0|26|0|1168010300102040004020621|||1168010300|개포동||개포4동|0|1204|01|4||
06311|서울특별시|Seoul|강남구|Gangnam-gu|||116804166059|개포로28길|Gaepo-ro 28-gil|0|32|0|1168010300102030006020663|||1168010300|개포동||개포4동|0|1203|01|6||
06325|서울특별시|Seoul|강남구|Gangnam-gu|||116804166498|선릉로8길|Seolleung-ro 8-gil|0|20|0|1168010300101600000019489|||1168010300|개포동||개포2동|0|160|01|0||
06325|서울특별시|Seoul|강남구|Gangnam-gu|||116804166498|선릉로8길|Seolleung-ro 8-gil|0|16|0|1168010300101590005019510|||1168010300|개포동||개포2동|0|159|01|5||
06325|서울특별시|Seoul|강남구|Gangnam-gu|||116804166498|선릉로8길|Seolleung-ro 8-gil|0|24|0|1168010300101600002019469|||1168010300|개포동||개포2동|0|160|01|2||
06325|서울특별시|Seoul|강남구|Gangnam-gu|||116804166498|선릉로8길|Seolleung-ro 8-gil|0|8|0|1168010300101590001019546|||1168010300|개포동||개포2동|0|159|01|1||
06325|서울특별시|Seoul|강남구|Gangnam-gu|||116804166498|선릉로8길|Seolleung-ro 8-gil|0|25|0|1168010300101620004019432|||1168010300|개포동||개포2동|0|162|01|4||
06325|서울특별시|Seoul|강남구|Gangnam-gu|||116804166498|선릉로8길|Seolleung-ro 8-gil|0|14|0|1168010300101590004019521|||1168010300|개포동||개포2동|0|159|01|4||
06325|서울특별시|Seoul|강남구|Gangnam-gu|||116804166498|선릉로8길|Seolleung-ro 8-gil|0|22|0|1168010300101600001019484|||1168010300|개포동||개포2동|0|160|01|1||
06312|서울특별시|Seoul|강남구|Gangnam-gu|||116804166142|논현로14길|Nonhyeon-ro 14-gil|0|13|0|1168010300102250004020811|||1168010300|개포동||개포4동|0|1225|01|4||
06312|서울특별시|Seoul|강남구|Gangnam-gu|||116804166142|논현로14길|Nonhyeon-ro 14-gil|0|18|0|1168010300102230000020813|||1168010300|개포동||개포4동|0|1223|01|0||
06312|서울특별시|Seoul|강남구|Gangnam-gu|||116804166142|논현로14길|Nonhyeon-ro 14-gil|0|11|0|1168010300102250003020817|||1168010300|개포동||개포4동|0|1225|01|3||
06312|서울특별시|Seoul|강남구|Gangnam-gu|||116804166142|논현로14길|Nonhyeon-ro 14-gil|0|6|0|1168010300102240000020866|||1168010300|개포동||개포4동|0|1224|01|0||
06312|서울특별시|Seoul|강남구|Gangnam-gu|||116804166142|논현로14길|Nonhyeon-ro 14-gil|0|20|0|1168010300102230001020804|||1168010300|개포동||개포4동|0|1223|01|1||
06312|서울특별시|Seoul|강남구|Gangnam-gu|||116804166128|논현로12길|Nonhyeon-ro 12-gil|0|9|14|1168010300101960013020851|||1168010300|개포동||개포4동|0|1196|01|13||
